Шрифт	Начертание	Размер	Цвет Текста	Подчеркивание	цвет Подчеркивания	Видоизменение Текст	Буквы	Положение Текста	Сдвиг	Выровнять Высоту Знаков
Arial	курсив	40	красный	одинарная	черный	зачеркнутый	все Прописные	надстрочный	30	вкл
Заголовок	курсив	10	черный	отсутствует	нет	двойноеЗачеркивание	малые Прописные	нет	0	выкл
Основной текст	Обычный	40	красный	отсутствует	нет	зачеркнутый	малые Прописные	подстрочный	-20	вкл
Основной текст	полужирныйКурсив	10	черный	одинарная	черный	двойноеЗачеркивание	все Прописные	надстрочный	30	выкл
Заголовок	полужирный	40	черный	одинарная	черный	двойноеЗачеркивание	все Прописные	подстрочный	-20	выкл
Arial	Обычный	10	красный	одинарная	черный	зачеркнутый	все Прописные	нет	0	выкл
Arial	Обычный	10	черный	отсутствует	нет	двойноеЗачеркивание	малые Прописные	надстрочный	30	вкл
Основной текст	полужирный	40	красный	одинарная	черный	зачеркнутый	малые Прописные	нет	0	вкл
Заголовок	полужирныйКурсив	10	красный	отсутствует	нет	зачеркнутый	малые Прописные	подстрочный	-20	вкл
Заголовок	Обычный	10	красный	отсутствует	нет	двойноеЗачеркивание	все Прописные	надстрочный	30	вкл
Arial	полужирный	10	черный	отсутствует	нет	зачеркнутый	малые Прописные	надстрочный	30	вкл
Arial	курсив	10	черный	отсутствует	нет	зачеркнутый	все Прописные	подстрочный	-20	выкл
Основной текст	курсив	40	красный	одинарная	черный	двойноеЗачеркивание	малые Прописные	надстрочный	30	выкл
Arial	полужирныйКурсив	40	красный	отсутствует	нет	зачеркнутый	малые Прописные	нет	0	выкл
